,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
199,Pickfair Pocket Park,3731,913458.3823737593,1.237,96,95,61,0,Pickfair Pocket Park,118,117,75,0
200,Pillow School Park,1588,1578958.2038023516,6.62859478,31,30,27,1,Pillow School Park,210,203,184,6
201,Piney Bend Neighborhood Park,7824,4155867.038344012,4.335,163,118,95,44,Piney Bend Neighborhood Park,706,513,414,192
202,Pioneer Crossing Neighborhood Park,8242,4739738.507965414,17.96,23,9,3,14,Pioneer Crossing Neighborhood Park,425,173,60,252
203,Ponciana Neighborhood Park,6828,3660044.6038737,5.179,209,20,12,189,Ponciana Neighborhood Park,1087,105,67,982
204,Quail Creek Neighborhood Park,15053,4475035.874620797,16.299,153,34,22,119,Quail Creek Neighborhood Park,2506,559,368,1947
205,Ramsey Neighborhood Park,4793,3796821.897650716,5.26800149,130,114,102,16,Ramsey Neighborhood Park,688,600,540,87
206,Red Bluff Nature Preserve,10496,16702967.08939283,49.736,38,17,8,20,Red Bluff Nature Preserve,1905,887,419,1018
207,Red Bluff Neighborhood Park,6703,2574595.1549766664,7.196,35,21,9,13,Red Bluff Neighborhood Park,254,157,68,97
208,Red Bud Isle,6517,6576718.447717941,17.49307899,30,27,17,2,Red Bud Isle,527,477,308,49
209,Reed Neighborhood Park,1800,3895121.582828131,6.35935429,59,59,58,0,Reed Neighborhood Park,379,376,372,3
210,Reilly School Park,1640,1524257.5935724345,9.86,20,13,10,6,Reilly School Park,199,133,108,65
211,Republic Square,4109,943494.9647879717,1.748,97,86,75,11,Republic Square,170,150,132,19
212,Riata Neighborhood Park,5163,4304048.311106197,8.08,61,55,34,5,Riata Neighborhood Park,500,452,280,48
213,Ricky Guerrero Neighborhood Park,5329,956345.1807469672,1.90776495,106,77,61,28,Ricky Guerrero Neighborhood Park,203,148,117,54
214,Rinard Creek Greenbelt,17487,46391777.70832528,22.633,222,100,83,121,Rinard Creek Greenbelt,5044,2284,1879,2759
215,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,9223,860754.9721980018,1.63434011,110,93,80,16,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,180,153,131,26
216,Ron Rigsby Pocket Park,3127,956897.230655757,0.8357,484,227,157,256,Ron Rigsby Pocket Park,404,190,131,214
217,Rosewood Neighborhood Park,4281,3247892.74541137,14.22276674,51,29,17,22,Rosewood Neighborhood Park,730,412,254,317
218,Roy G. Guerrero Colorado River Metro Park,47805,129033550.78542449,399.46658273,64,27,14,37,Roy G. Guerrero Colorado River Metro Park,25824,10876,5896,14947
219,Roy Kizer Golf Course,38117,75672979.20197694,265.19065743,39,8,5,30,Roy Kizer Golf Course,10360,2161,1356,8199
220,Ryan Planting Strip,2151,854440.4929038701,0.24088698,768,687,663,80,Ryan Planting Strip,185,165,159,19
221,Salt Springs Neighborhood Park,3802,2665349.600079433,9.45904729,10,2,1,8,Salt Springs Neighborhood Park,102,24,18,77
222,Sanchez School Park,1329,856352.5033561115,1.3,116,45,44,70,Sanchez School Park,150,59,57,91
223,Schieffer Tract,7664,3295211.932035182,4.35596015,120,65,28,54,Schieffer Tract,522,286,122,236
224,Scofield Farms Neighborhood Park,9260,6986995.645381572,20.6445,53,38,18,15,Scofield Farms Neighborhood Park,1111,784,388,326
225,Seiders Springs at Shoal Creek Greenbelt,24497,57280104.1139592,4.22,2499,2219,1938,279,Seiders Springs at Shoal Creek Greenbelt,10545,9368,8179,1177
226,Sendera Mesa Neighborhood Park,6953,3551680.216452541,4.61649392,105,81,59,23,Sendera Mesa Neighborhood Park,484,376,275,108
227,Shinoak Valley Greenbelt,16013,67430747.87578861,10.46021446,775,699,607,75,Shinoak Valley Greenbelt,8112,7318,6358,794
228,Shipe Neighborhood Park,7157,2964432.7319790814,2.45876512,269,240,216,28,Shipe Neighborhood Park,662,591,532,70
229,Shoal Beach at Town Lake Metro Park,13719,7031283.991557928,13.48083855,87,78,68,9,Shoal Beach at Town Lake Metro Park,1179,1055,924,123
230,Shoal Creek Greenbelt,90397,257840194.25844234,80.67868635,733,636,514,97,Shoal Creek Greenbelt,59213,51319,41480,7893
231,Silk Oak Neighborhood Park,4244,6012540.760233645,17.68232301,42,32,27,9,Silk Oak Neighborhood Park,744,570,485,174
232,Sir Swante Palm Neighborhood Park,7631,3373193.187496025,3.24240255,192,147,124,44,Sir Swante Palm Neighborhood Park,623,479,403,143
233,Slaughter Creek Greenbelt,26032,88183771.32856677,73.780646,177,99,76,78,Slaughter Creek Greenbelt,13095,7332,5631,5763
234,South Austin Island,4010,614954.4547588701,0.06846614,2136,1627,1406,508,South Austin Island,146,111,96,34
235,South Austin Neighborhood Park,5601,3837312.608477203,12.27,65,43,35,22,South Austin Neighborhood Park,809,533,432,276
236,South Austin Senior Activity Center,6395,3545015.535106241,4.63,206,134,112,71,South Austin Senior Activity Center,954,624,520,329
237,South Austin Tennis Center,4264,4082415.12127526,12.05,66,42,33,24,South Austin Tennis Center,800,506,403,293
238,South Boggy Creek Greenbelt,59821,169308708.38547373,29.853245,852,397,318,455,South Boggy Creek Greenbelt,25459,11858,9515,13601
239,South Boggy Creek Greenbelt,59821,169308708.38547373,8.54716954,2978,1387,1113,1591,South Boggy Creek Greenbelt,25459,11858,9515,13601
240,Southern Walnut Creek Greenbelt,53505,187741938.13553518,601.16025764,24,10,3,13,Southern Walnut Creek Greenbelt,14499,6282,2072,8216
241,Sparky Pocket Park,1989,733871.4151359706,0.4550046,467,427,342,40,Sparky Pocket Park,212,194,155,18
242,Springdale Neighborhood Park,4664,4796776.7736296505,16.36640913,34,23,7,11,Springdale Neighborhood Park,567,383,127,184
243,Springwoods Neighborhood Park,7503,3136563.2492957003,12.45145586,77,57,47,20,Springwoods Neighborhood Park,962,709,590,252
244,St. Edwards Greenbelt,6054,29781510.4413068,79.8,17,15,9,1,St. Edwards Greenbelt,1401,1264,722,136
245,St. Elmo School Park,4061,1556974.5455549203,5.51527426,47,24,21,22,St. Elmo School Park,259,137,119,122
246,St. John Pocket Park,2930,813349.86384185,0.97,191,41,16,149,St. John Pocket Park,185,39,16,145
247,Steck Valley Greenbelt,26141,79149603.94703189,38.35643094,254,215,183,38,Steck Valley Greenbelt,9742,8282,7022,1460
248,Stephenson Nature Preserve & Outdoor Education Center,17091,25018552.72909432,147.282,27,18,16,8,Stephenson Nature Preserve & Outdoor Education Center,4031,2730,2373,1300
249,Stillhouse Hollow Nature Preserve,11421,14741481.803053994,19.8278,104,93,84,10,Stillhouse Hollow Nature Preserve,2063,1845,1670,217
