,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
52,Colorado/Walnut Greenbelt,5699,106,162,162,141,85,27,99.663,6,1,1,1,1,0,0,Colorado/Walnut Greenbelt,685
53,Comal Pocket Park,526,18,11,3,6,7,3,0.97071,52,18,11,3,6,7,3,Comal Pocket Park,51
54,Commons Ford Ranch Metro Park,6529,65,83,109,86,170,468,215.235,4,0,0,0,0,0,2,Commons Ford Ranch Metro Park,983
55,Conley-Guerrero Senior Activity Center,1885,61,36,27,5,11,11,2.43782134,62,25,14,11,2,4,4,Conley-Guerrero Senior Activity Center,153
56,Convict Hill Quarry Neighborhood Park,1960,8,25,15,18,35,41,2.814,51,2,9,5,6,12,14,Convict Hill Quarry Neighborhood Park,144
57,Cook School Park,1985,30,23,36,16,30,7,7.69,18,3,3,4,2,3,1,Cook School Park,145
58,Copperfield Neighborhood Park,4623,30,68,64,51,32,3,4.62,54,6,14,13,11,7,0,Copperfield Neighborhood Park,251
59,Country Club Creek Greenbelt,11548,2273,2829,1580,541,405,231,41.843,187,54,67,37,12,9,5,Country Club Creek Greenbelt,7861
60,Covert Park at Mount Bonnell,2336,4,7,7,3,16,46,5.54,15,0,1,1,0,2,8,Covert Park at Mount Bonnell,87
61,Crestland Triangle,1690,5,16,31,5,12,9,0.457,177,12,35,68,12,26,21,Crestland Triangle,81
62,Cunningham School Park,2003,16,25,17,18,20,10,3.55,30,4,7,4,5,5,3,Cunningham School Park,109
63,Davis Hill Neighborhood Park,4751,33,81,56,59,49,32,8.36,37,3,9,6,7,5,3,Davis Hill Neighborhood Park,313
64,Davis Spring Special Park,3396,15,36,33,13,58,71,14.472,15,1,2,2,0,4,4,Davis Spring Special Park,228
65,Davis/White Northeast Neighborhood Park,2808,21,43,18,12,10,2,19.55157,5,1,2,0,0,0,0,Davis/White Northeast Neighborhood Park,108
66,Decker Tallgrass Prairie Preserve,265,0,6,10,9,6,1,347.9910643,0,0,0,0,0,0,0,Decker Tallgrass Prairie Preserve,34
67,Deer Park at Maple Run Preserve,7029,54,104,152,133,223,121,24.278,32,2,4,6,5,9,5,Deer Park at Maple Run Preserve,790
68,Dick Nichols District Park,7969,107,240,265,275,427,273,140.1464,11,0,1,1,1,3,1,Dick Nichols District Park,1589
69,Doss School Park,773,12,18,11,5,14,23,6.2,13,1,2,1,0,2,3,Doss School Park,84
70,Dottie Jordan Neighborhood Park,1933,62,71,63,44,45,28,11.45,27,5,6,5,3,3,2,Dottie Jordan Neighborhood Park,315
71,Dougherty Arts Center,3403,36,23,29,24,42,42,2.3400354,85,15,10,12,10,18,18,Dougherty Arts Center,199
72,Dove Springs District Park,1853,30,97,61,48,19,23,59.001,4,0,1,1,0,0,0,Dove Springs District Park,280
73,Downs Mabson Fields,1670,73,53,35,31,63,25,9.97,28,7,5,3,3,6,2,Downs Mabson Fields,281
74,Dry Creek Greenbelt,4044,180,227,230,151,146,102,6.1149,169,29,37,37,24,23,16,Dry Creek Greenbelt,1039
75,Duncan Neighborhood Park,5947,42,46,65,41,77,129,5.91,68,7,7,11,6,13,21,Duncan Neighborhood Park,402
76,Earl J. Pomerleau Pocket Park,1247,61,37,14,8,5,2,1.927,66,31,19,7,4,2,1,Earl J. Pomerleau Pocket Park,128
77,East Boggy Creek Greenbelt,5476,806,518,444,351,172,125,75.1792,32,10,6,5,4,2,1,East Boggy Creek Greenbelt,2418
78,East Bouldin Creek Greenbelt,12933,927,729,826,654,923,1014,0.652,7787,1423,1119,1268,1003,1416,1556,East Bouldin Creek Greenbelt,5077
79,Eastwoods Neighborhood Park,1862,150,44,45,31,38,53,9.9,36,15,4,4,3,3,5,Eastwoods Neighborhood Park,364
80,Edward Rendon Sr. Metro Park at Festival Beach,5999,393,411,309,227,518,378,72.86032804,30,5,5,4,3,7,5,Edward Rendon Sr. Metro Park at Festival Beach,2239
81,Eilers (Deep Eddy) Neighborhood Park,4495,46,45,33,17,26,31,8.976415,22,5,5,3,1,2,3,Eilers (Deep Eddy) Neighborhood Park,201
82,Elizabet Ney Museum,3446,37,80,55,35,46,72,2.5482,128,14,31,21,13,18,28,Elizabet Ney Museum,328
83,Ellen Higgins Pocket Park,2236,6,9,14,17,10,6,0.61,109,11,15,24,29,17,11,Ellen Higgins Pocket Park,66
84,Emma Long Metro Park,9774,144,239,269,127,343,851,1109.27531553,1,0,0,0,0,0,0,Emma Long Metro Park,1975
85,Forest North Neighborhood Park,953,8,30,45,9,17,12,2.486,49,3,12,18,3,7,5,Forest North Neighborhood Park,123
86,Gaines Creek Neighborhood Park,4531,25,47,70,63,87,149,37.92,11,0,1,1,1,2,3,Gaines Creek Neighborhood Park,443
87,Gaines Greenbelt,9423,159,321,449,333,403,467,94.04,22,1,3,4,3,4,4,Gaines Greenbelt,2134
88,Gaines Park at Barton Creek Greenbelt,4586,69,94,158,127,118,184,6.0148,125,11,15,26,21,19,30,Gaines Park at Barton Creek Greenbelt,752
89,Garrison District Park,4615,171,230,252,213,208,122,40.0,29,4,5,6,5,5,3,Garrison District Park,1198
90,George Washington Carver Museum,525,12,3,2,4,3,2,0.29825221,101,42,12,9,13,13,9,George Washington Carver Museum,30
