,GEOID10,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
174,484530017372,2117,0,46,35,15,0,13,0,66,127,198,221,273,293,192,357,276,38384454.18121987,1998062.2180508177,45.869196924949904,0.05205394372986545,110.19819887612516,4,10,21,14,25,32,2.4024444782939813,0.08720449164489855,0.21801122911224638,0.45782358113571736,0.3052157207571449,0.5450280727806159,0.6976359331591884
175,484530017373,1450,38,24,16,0,15,12,47,63,77,55,71,157,192,190,141,341,36553029.70291901,12628669.360234225,289.91435629555156,0.3454889912784915,500.9590373538126,26,73,43,54,131,166,1.7279552615294178,0.08968165748057833,0.25179849984931607,0.14831966429480262,0.1862619039981242,0.4518575819213754,0.5725828900683078
176,484530017381,513,23,28,0,0,0,0,0,0,14,0,116,157,63,40,72,0,7301690.007679912,285539.63714908354,6.555088088821936,0.039105965447554354,20.061360274595383,1,0,4,6,4,2,3.0604257338364405,0.1525532512225503,0.0,0.6102130048902012,0.9153195073353019,0.6102130048902012,0.3051065024451006
178,484530017383,448,0,0,0,0,0,12,11,12,0,10,30,109,46,40,86,83,6726927.083415804,0.0004915097043339022,1.1283510200502805e-08,7.306600744129412e-11,3.2733571333699766e-08,0,0,0,0,0,0,2.901009592940424,0.0,0.0,0.0,0.0,0.0,0.0
179,484530017384,1024,16,0,0,38,15,0,25,0,29,23,84,174,181,154,165,109,13391373.431118265,0.0011452681170553854,2.629173822441197e-08,8.552282728477002e-11,8.75753751396045e-08,0,0,0,0,0,0,3.330908530737251,0.0,0.0,0.0,0.0,0.0,0.0
180,484530017385,414,0,13,16,0,16,0,84,28,0,30,58,32,28,10,18,70,11567307.330245135,0.0007023606039324361,1.6123980806529757e-08,6.071945560709431e-11,2.5137854621337044e-08,0,0,0,0,0,0,1.5590352607686635,0.0,0.0,0.0,0.0,0.0,0.0
181,484530017401,1017,57,5,10,0,5,54,40,35,21,79,131,146,172,113,104,31,24878101.747106664,656677.7718829433,15.075247288405494,0.026395815024726123,26.844543880146468,1,4,5,3,7,3,1.7807033852633942,0.0663339035751081,0.2653356143004324,0.33166951787554055,0.19900171072532433,0.46433732502575675,0.19900171072532433
182,484530017402,951,17,55,4,12,37,21,10,11,7,75,61,174,109,105,110,136,20214462.49416865,0.0009185805596857249,2.108770798176595e-08,4.544175042748288e-11,4.321510465653622e-08,0,0,0,0,0,0,2.0493030676403197,0.0,0.0,0.0,0.0,0.0,0.0
183,484530017411,115,6,0,1,2,4,0,1,0,1,6,4,8,15,7,11,42,1427276.524516723,1427276.524516723,32.7657604342682,1.0,115.0,9,6,10,8,22,53,3.509761362953957,0.27467697623117926,0.18311798415411948,0.3051966402568658,0.24415731220549267,0.6714326085651048,1.617542193361389
184,484530017421,389,48,0,11,0,6,50,36,19,6,5,62,24,35,5,28,47,1855045.627219612,1855045.627219612,42.58598776904527,1.0,389.0,59,117,67,24,40,75,9.134459956867662,1.3854322299619333,2.7473825577211217,1.5732874475838903,0.5635656528658711,0.9392760881097852,1.7611426652058473
